k,sample,time,best_ll,theta_0,theta_1,theta_2,theta_3
4,25,38.32,-41.8421,0.9999,0.5978,0.5922,0.0001
4,26,57.35,-40.2146,0.9999,0.5192,0.3854,0.0892
4,27,69.46,-37.155,0.9999,0.4244,0.3288,0.1188
4,28,64.73,-38.126,0.9999,0.455,0.4168,0.1018
4,29,62.95,-51.8803,0.9999,0.4918,0.462,0.1552
4,30,62.63,-66.8269,0.9999,0.5588,0.6973,0.1195
5,1,73.98,-143.9704,0.9999,0.5326,0.4727,0.1447
5,2,68.33,-116.9828,0.9947,0.5395,0.3963,0.1039
5,3,92.13,-154.2219,0.9999,0.4641,0.441,0.2578
5,4,92.42,-151.6307,0.9999,0.441,0.4604,0.2515
5,5,71.76,-121.6315,0.9999,0.4227,0.4764,0.1669
5,6,73.46,-119.8284,0.9999,0.4237,0.4105,0.2073
5,7,90.54,-144.9355,0.9999,0.4513,0.4719,0.215
5,8,114.41,-164.6915,0.9904,0.5004,0.5172,0.2005
5,9,84.85,-118.2567,0.9999,0.4736,0.4396,0.1437
5,10,69.37,-126.6685,0.9999,0.5232,0.4573,0.1223
5,11,72.45,-114.1723,0.9999,0.4565,0.4788,0.1113
5,12,60.72,-136.5062,0.9999,0.5409,0.5017,0.1028
5,13,86.08,-145.2675,0.9999,0.4852,0.4762,0.1954
5,14,82.62,-117.8548,0.9999,0.462,0.4047,0.1725
5,15,67.41,-120.2159,0.9999,0.4167,0.4691,0.1552
5,16,50.51,-97.6153,0.8648,0.5183,0.4974,0.0588
5,17,73.41,-155.1823,0.9999,0.4792,0.5795,0.1472
5,18,67.58,-119.1235,0.9999,0.4437,0.4708,0.1351
5,19,70.06,-145.0975,0.9999,0.5754,0.4678,0.1315
5,20,71.01,-131.3681,0.9999,0.4367,0.5177,0.1396
5,21,73.56,-152.4878,0.9999,0.4451,0.5977,0.1486
5,22,45.34,-111.139,0.9999,0.4738,0.548,0.0509
5,23,88.96,-125.5525,0.9999,0.4886,0.3591,0.1941
5,24,78.19,-175.6471,0.9999,0.5155,0.5581,0.1738
5,25,65.16,-151.5164,0.9999,0.5559,0.5348,0.1107
5,26,45.75,-127.5598,0.9173,0.6023,0.5399,0.067
5,27,83.09,-149.0712,0.9999,0.4499,0.4511,0.2416
5,28,79.36,-163.582,0.9999,0.5721,0.4826,0.1688
5,29,63.59,-126.1984,0.9999,0.4995,0.5133,0.1097
6,1,61.27,-291.9753,0.9999,0.5629,0.4532,0.0684
6,2,66.37,-308.1492,0.9999,0.5697,0.4595,0.073
6,3,89.62,-306.7162,0.9999,0.5067,0.3869,0.1639
6,4,79.4,-21.8779,0.7792,0.5904,0.2968,0.2258
6,5,51.77,-19.1462,0.9999,0.5571,0.2829,0.1041
6,6,44.03,-17.4507,0.9999,0.6673,0.2515,0.0001
6,7,38.53,-17.446,0.7237,0.7459,0.3106,0.0001
6,8,81.72,-19.451,0.6678,0.4922,0.3623,0.3163
6,9,49.84,-20.6896,0.7287,0.7558,0.3452,0.057
