k,sample,time,theta_0,theta_1,theta_2,theta_3
10,14,243.06028652191162,0.9998999834060669,0.5451741814613342,0.5407674908638,0.12762218713760376
10,15,237.97138738632202,0.9998999834060669,0.541165828704834,0.537242591381073,0.1328824758529663
10,16,245.3666741847992,0.9998999834060669,0.54185551404953,0.5449289679527283,0.123308464884758
10,17,236.7708146572113,0.9998999834060669,0.5493684411048889,0.5337578654289246,0.14320513606071472
10,18,239.00001907348633,0.9998999834060669,0.5370303988456726,0.5400755405426025,0.13062439858913422
11,1,237.71133661270142,0.9998999834060669,0.5318938493728638,0.5285545587539673,0.14276240766048431
11,2,238.34379625320435,0.9998999834060669,0.5373220443725586,0.5313220024108887,0.15424929559230804
11,3,246.78897976875305,0.9998999834060669,0.5132322311401367,0.5067266225814819,0.1449100524187088
11,4,241.4415316581726,0.9998999834060669,0.5303191542625427,0.5291521549224854,0.15662410855293274
11,5,246.07949566841125,0.9998999834060669,0.517585277557373,0.5132150650024414,0.13490411639213562
11,6,234.90265417099,0.9998999834060669,0.5153523087501526,0.5181568264961243,0.14336039125919342
11,7,234.4726688861847,0.9998999834060669,0.5239897966384888,0.5213301777839661,0.1481735110282898
11,8,240.5241379737854,0.9998999834060669,0.541433572769165,0.5259389281272888,0.15428131818771362
11,9,247.48587894439697,0.9998999834060669,0.5342200994491577,0.5243127942085266,0.15608924627304077
11,10,234.79730343818665,0.9998999834060669,0.5169990062713623,0.517428994178772,0.14091119170188904
11,11,237.7461965084076,0.9998999834060669,0.5246289968490601,0.5147190690040588,0.14403681457042694
11,12,239.9819142818451,0.9998999834060669,0.5215443968772888,0.5240790843963623,0.14130309224128723
11,13,236.5965759754181,0.9998999834060669,0.5236880779266357,0.535831093788147,0.14309877157211304
11,14,238.2144660949707,0.9998999834060669,0.5207165479660034,0.5109291076660156,0.13533909618854523
11,15,235.41498565673828,0.9998999834060669,0.5146646499633789,0.5080650448799133,0.13961303234100342
11,16,236.3802273273468,0.9998999834060669,0.5371635556221008,0.5287940502166748,0.15602238476276398
11,17,240.08454203605652,0.9998999834060669,0.5305392742156982,0.5305758714675903,0.15466156601905823
11,18,236.62839555740356,0.9998999834060669,0.533655047416687,0.5383685231208801,0.1517534703016281
12,1,238.35830640792847,0.9793480634689331,0.4923177659511566,0.49291154742240906,0.14598225057125092
12,2,234.7088987827301,0.9871504306793213,0.4925607740879059,0.49297165870666504,0.1396394670009613
12,3,239.50424098968506,0.9947997331619263,0.4956817328929901,0.49509501457214355,0.1529207080602646
12,4,235.84633374214172,0.9777621626853943,0.482708215713501,0.4907393157482147,0.14523492753505707
12,5,238.3048174381256,0.980929970741272,0.49347981810569763,0.4916342496871948,0.14041940867900848
12,6,246.99618291854858,0.9947752952575684,0.49388524889945984,0.4972080588340759,0.14893583953380585
12,7,241.11218738555908,0.9724994897842407,0.49165236949920654,0.48378944396972656,0.14024515450000763
