k,s,total_time_seconds,best_log_likelihood,P00,P01,P10,P11,full_fit,gradient_gpu,init_cpu_gpu,mcmc_cpu,optimizer_gpu,transfer_pcie,warm_up_mcmc_cpu
10,12,12.469565391540527,-13646.45576171875,0.9300639033317566,0.2847977876663208,0.3185923099517822,0.6397330164909363,12.29751443862915,4.6608593463897705,0.17201828956604004,7.17259955406189,0.08524560928344727,0.28250551223754883,0.007417201995849609
10,13,12.19540786743164,-13667.9296875,0.9329463243484497,0.29274284839630127,0.31388700008392334,0.635129451751709,12.179777145385742,4.472810983657837,0.015601396560668945,7.2202653884887695,0.0842125415802002,0.3099844455718994,0.007407188415527344
10,14,12.119342565536499,-13780.0841796875,0.9291290044784546,0.28122204542160034,0.3206883668899536,0.6442586183547974,12.102871417999268,4.500336170196533,0.016439199447631836,7.117053747177124,0.0835871696472168,0.31348133087158203,0.007374763488769531
10,15,12.078714370727539,-13885.78515625,0.9196521639823914,0.29960715770721436,0.32760900259017944,0.6265504956245422,12.06233024597168,4.4351067543029785,0.016353130340576172,7.140993595123291,0.08253693580627441,0.31408095359802246,0.007375240325927734
10,16,12.189599990844727,-13923.9888671875,0.9209669232368469,0.29613712430000305,0.3265276849269867,0.6308034062385559,12.17288851737976,4.55826997756958,0.016681671142578125,7.1795690059661865,0.08329200744628906,0.26131343841552734,0.007480144500732422
10,17,12.31971287727356,-14068.9552734375,0.9078884124755859,0.3113258183002472,0.3406287729740143,0.6141851544380188,12.303186178207397,4.56069803237915,0.01648235321044922,7.2861762046813965,0.08487582206726074,0.26897263526916504,0.007463932037353516
10,18,12.369305610656738,-13900.36044921875,0.9257996082305908,0.29937687516212463,0.32762154936790466,0.6221516132354736,12.352584838867188,4.606863021850586,0.016688823699951172,7.280563831329346,0.08607172966003418,0.2839341163635254,0.007634162902832031
10,19,12.156829833984375,-13796.2234375,0.9179773330688477,0.28904828429222107,0.31974563002586365,0.6470211744308472,12.140616178512573,4.651305913925171,0.016182661056518555,7.043873071670532,0.08490371704101562,0.2658572196960449,0.0072612762451171875
10,20,12.239787578582764,-13871.334375,0.9177430868148804,0.2967456579208374,0.32776039838790894,0.6309890151023865,12.223230838775635,4.6533942222595215,0.016516447067260742,7.118713855743408,0.0840003490447998,0.2746541500091553,0.007574319839477539
10,21,12.317684888839722,-13841.0201171875,0.9244130253791809,0.2914881110191345,0.3294251561164856,0.628719687461853,12.301054954528809,4.6658735275268555,0.016590356826782227,7.170961856842041,0.08391642570495605,0.28788018226623535,0.0074231624603271484
10,22,12.577236890792847,-13758.32900390625,0.9185105562210083,0.2960829734802246,0.3225964605808258,0.635936439037323,12.560721397399902,4.73534369468689,0.016478776931762695,7.333460807800293,0.08754754066467285,0.29772496223449707,0.007322549819946289
10,23,12.102259874343872,-14125.83828125,0.9124910831451416,0.30590102076530457,0.330530047416687,0.6264591813087463,12.084471225738525,4.428130626678467,0.017759084701538086,7.184344530105591,0.08336710929870605,0.28925299644470215,0.007475376129150391
10,24,11.836847305297852,-13698.2369140625,0.932718813419342,0.28782668709754944,0.3238634467124939,0.6294116377830505,11.821554899215698,4.133829355239868,0.015253543853759766,7.184857368469238,0.08226728439331055,0.326430082321167,0.007536649703979492
10,25,11.66576361656189,-13844.55234375,0.9275855422019958,0.2991529405117035,0.32371971011161804,0.6238924264907837,11.649016380310059,3.995487689971924,0.016718149185180664,7.2068164348602295,0.08082962036132812,0.2602047920227051,0.007497310638427734
